fips_code,county_name,state_alpha,cbsa_code,metro_name,median_income,year,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
21067,Fayette County,KY,30460,Lexington-Fayette KY MSA,94900,2024,20000,22850,25700,28550,30850,33150,35450,37700,33250,38000,42750,47500,51300,55100,58900,62700,53200,60800,68400,76000,82100,88200,94250,100350
06075,San Francisco County,CA,41860,San Francisco HMFA,182800,2024,41000,46850,52700,58550,63250,67950,72650,77300,68300,78050,87800,97550,105400,113200,121000,128800,109250,124850,140450,156050,168550,181050,193550,206000
21189,Owsley County,KY,,,44800,2024,15060,19550,22000,24400,26400,28350,30300,32250,17100,19550,22000,24400,26400,28350,30300,32250,27350,31250,35150,39050,42200,45300,48450,51550
72127,San Juan Municipio,PR,41980,San Juan-Guaynabo PR HMFA,30800,2024,11850,13550,15250,16900,18300,19650,21000,22350,11850,13550,15250,16900,18300,19650,21000,22350,18950,21650,24350,27050,29250,31400,33550,35750
